"Country","Population density per km","Ranking population density"
Monaco,36297,1
Malta,1672,2
San Marino,561,3
Netherlands,522,4
Belgium,386,5
United Kingdom,280,6
Luxembourg,253,7
Liechtenstein,247,8
Germany,239,9
Switzerland,223,10
Italy,200,11
Andorra,170,12
Denmark,139,13
Czech Republic,136,14
Poland,134,15
Slovakia,121,16
France,118,17
Portugal,112,18
Hungary,112,18
Austria,109,20
Moldova,105,21
Slovenia,105,21
Albania,103,23
Spain,95,24
Romania,86,25
North Macedonia,83,26
Serbia,82,27
Greece,80,28
Ireland,73,29
Croatia,72,30
Ukraine,63,31
Bosnia and Herzegovina,63,31
Bulgaria,62,33
Belarus,47,34
Montenegro,47,34
Lithuania,43,36
Estonia,31,37
Latvia,29,38
Sweden,26,39
Finland,18,40
Norway,15,41
Iceland,4,42
